,OPEN,HIGH,LOW,CLOSE,RSI
2013-11-01 00:00:00.005,2139.88,2157.313,2132.629,2149.562,0.0
2013-11-04 00:00:00.005,2156.087,2160.578,2143.207,2149.634,0.0
2013-11-05 00:00:00.005,2139.837,2158.148,2124.845,2157.24,0.0
2013-11-06 00:00:00.005,2149.39,2166.171,2138.78,2139.607,0.0
2013-11-07 00:00:00.005,2136.627,2141.6,2119.186,2129.4,0.0
2013-11-08 00:00:00.005,2120.923,2128.581,2103.51,2106.127,0.0
2013-11-11 00:00:00.005,2103.299,2117.28,2093.626,2109.471,0.0
2013-11-12 00:00:00.005,2110.724,2127.938,2108.396,2126.772,0.0
2013-11-13 00:00:00.005,2117.886,2117.912,2086.006,2087.941,0.0
2013-11-14 00:00:00.005,2087.119,2102.38,2078.988,2100.506,0.0
2013-11-15 00:00:00.005,2100.9,2153.213,2100.786,2135.827,0.0
2013-11-18 00:00:00.005,2147.373,2198.316,2143.768,2197.219,0.0
2013-11-19 00:00:00.005,2198.318,2203.297,2186.114,2193.125,0.0
2013-11-20 00:00:00.005,2201.474,2207.105,2186.642,2206.613,0.0
2013-11-21 00:00:00.005,2197.008,2206.531,2177.735,2205.766,0.0
2013-11-22 00:00:00.005,2206.471,2211.066,2188.767,2196.378,0.0
2013-11-25 00:00:00.005,2186.058,2209.148,2181.418,2186.115,0.0
2013-11-26 00:00:00.005,2184.332,2192.579,2176.177,2183.073,0.0
2013-11-27 00:00:00.005,2181.725,2207.617,2176.847,2201.07,0.0
2013-11-28 00:00:00.005,2204.378,2234.387,2202.623,2219.372,0.0
2013-11-29 00:00:00.005,2221.618,2224.944,2212.263,2220.504,0.0
2013-12-02 00:00:00.005,2203.122,2231.921,2172.633,2207.371,0.0
2013-12-03 00:00:00.005,2196.824,2227.925,2193.251,2222.67,0.0
2013-12-04 00:00:00.005,2219.965,2260.871,2215.916,2251.762,0.0
2013-12-05 00:00:00.005,2252.723,2255.261,2239.144,2247.063,0.0
2013-12-06 00:00:00.005,2242.563,2248.147,2228.632,2237.108,0.0
2013-12-09 00:00:00.005,2241.793,2249.169,2231.734,2238.2,0.0
2013-12-10 00:00:00.005,2239.864,2250.504,2231.68,2237.492,0.0
2013-12-11 00:00:00.005,2228.633,2228.633,2193.16,2204.166,0.0
2013-12-12 00:00:00.005,2199.317,2214.548,2194.901,2202.796,0.0
2013-12-13 00:00:00.005,2188.259,2204.637,2183.842,2196.075,0.0
2013-12-16 00:00:00.005,2197.234,2201.696,2159.987,2160.861,0.0
2013-12-17 00:00:00.005,2161.536,2165.543,2146.314,2151.079,0.0
2013-12-18 00:00:00.005,2150.412,2156.593,2142.624,2148.285,0.0
2013-12-19 00:00:00.005,2153.674,2159.142,2126.246,2127.792,0.0
2013-12-20 00:00:00.005,2128.374,2131.737,2082.855,2084.794,0.0
2013-12-23 00:00:00.005,2089.539,2099.522,2068.543,2089.707,0.0
2013-12-24 00:00:00.005,2094.073,2111.805,2079.81,2092.905,0.0
2013-12-25 00:00:00.005,2095.019,2107.232,2088.297,2106.354,0.0
2013-12-26 00:00:00.005,2102.66,2102.66,2070.546,2073.099,0.0
2013-12-27 00:00:00.005,2074.592,2110.357,2069.59,2101.251,0.0
2013-12-30 00:00:00.005,2108.883,2112.009,2095.063,2097.529,0.0
2013-12-31 00:00:00.005,2090.679,2120.274,2087.415,2115.978,0.0
2014-01-02 00:00:00.005,2112.126,2113.11,2101.016,2109.387,0.0
2014-01-03 00:00:00.005,2101.542,2102.167,2075.899,2083.136,0.0
2014-01-06 00:00:00.005,2078.684,2078.684,2034.006,2045.709,0.0
2014-01-07 00:00:00.005,2034.224,2052.279,2029.246,2047.317,0.0
2014-01-08 00:00:00.005,2047.256,2062.952,2037.11,2044.34,0.0
2014-01-09 00:00:00.005,2041.773,2057.196,2026.446,2027.622,0.0
2014-01-10 00:00:00.005,2023.535,2029.297,2008.007,2013.298,0.0
2014-01-13 00:00:00.005,2014.978,2027.181,2000.404,2009.564,0.0
2014-01-14 00:00:00.005,2007.156,2027.428,2001.135,2026.842,0.0
2014-01-15 00:00:00.005,2024.228,2027.409,2010.204,2023.348,0.0
2014-01-16 00:00:00.005,2022.538,2034.707,2014.407,2023.701,0.0
2014-01-17 00:00:00.005,2017.522,2017.868,2001.33,2004.949,0.0
2014-01-20 00:00:00.005,2001.894,2005.938,1984.824,1991.253,0.0
2014-01-21 00:00:00.005,1992.015,2014.152,1992.015,2008.313,0.0
2014-01-22 00:00:00.005,2009.969,2052.339,2008.93,2051.749,0.0
2014-01-23 00:00:00.005,2048.331,2052.528,2039.052,2042.18,0.0
