,OPEN,HIGH,LOW,CLOSE,MACD
2014-06-26 00:00:00.005,3719.595,3738.192,3719.595,3736.059,0.0
2014-06-27 00:00:00.005,3734.711,3751.219,3727.537,3737.576,0.0
2014-06-30 00:00:00.005,3738.888,3761.361,3738.888,3757.494,0.0
2014-07-01 00:00:00.005,3764.144,3766.838,3750.907,3758.14,0.0
2014-07-02 00:00:00.005,3759.993,3771.997,3753.07,3771.942,0.0
2014-07-03 00:00:00.005,3771.484,3792.73,3767.23,3787.364,0.0
2014-07-04 00:00:00.005,3787.122,3791.51,3782.885,3789.555,0.0
2014-07-07 00:00:00.005,3786.594,3794.977,3777.522,3783.632,0.0
2014-07-08 00:00:00.005,3781.922,3787.435,3769.284,3786.294,0.0
2014-07-09 00:00:00.005,3786.174,3786.739,3753.303,3753.734,0.0
2014-07-10 00:00:00.005,3754.132,3756.9,3745.966,3748.424,0.0
2014-07-11 00:00:00.005,3749.096,3770.323,3748.795,3763.31,0.0
2014-07-14 00:00:00.005,3765.922,3794.051,3763.788,3793.694,0.0
2014-07-15 00:00:00.005,3793.117,3798.07,3785.801,3795.062,0.0
2014-07-16 00:00:00.005,3794.971,3804.712,3788.213,3789.089,0.0
2014-07-17 00:00:00.005,3788.115,3788.115,3768.049,3776.113,0.0
2014-07-18 00:00:00.005,3774.903,3800.67,3770.616,3787.884,0.0
2014-07-21 00:00:00.005,3786.624,3792.597,3778.894,3785.644,0.0
2014-07-22 00:00:00.005,3783.969,3824.452,3781.315,3819.015,0.0
2014-07-23 00:00:00.005,3819.098,3840.585,3817.437,3824.309,0.0
2014-07-24 00:00:00.005,3825.38,3877.316,3825.38,3874.331,0.0
2014-07-25 00:00:00.005,3878.256,3907.542,3876.499,3907.028,0.0
2014-07-28 00:00:00.005,3911.834,3994.907,3911.834,3985.22,0.0
2014-07-29 00:00:00.005,3986.793,4007.868,3977.448,3996.309,0.0
2014-07-30 00:00:00.005,3990.793,4006.897,3983.57,3987.304,0.0
2014-07-31 00:00:00.005,3987.099,4027.734,3978.668,4026.915,0.0
2014-08-01 00:00:00.005,4020.702,4049.605,3995.07,3995.775,0.0
2014-08-04 00:00:00.005,4002.358,4055.068,4002.358,4053.694,0.0
2014-08-05 00:00:00.005,4054.925,4057.106,4027.415,4044.266,0.0
2014-08-06 00:00:00.005,4032.957,4043.679,4000.794,4029.631,0.0
2014-08-07 00:00:00.005,4031.03,4038.002,3990.782,3992.495,0.0
2014-08-08 00:00:00.005,3993.413,4007.925,3984.996,3998.791,0.0
2014-08-11 00:00:00.005,4005.178,4043.719,4005.178,4038.733,0.0
2014-08-12 00:00:00.005,4036.03,4036.03,4015.271,4027.663,0.0
2014-08-13 00:00:00.005,4030.109,4044.7,4006.087,4032.186,0.0
2014-08-14 00:00:00.005,4031.899,4037.88,4004.996,4005.25,0.0
2014-08-15 00:00:00.005,4006.036,4045.304,4005.245,4036.823,0.0
2014-08-18 00:00:00.005,4043.55,4061.801,4041.01,4055.398,0.0
2014-08-19 00:00:00.005,4057.741,4059.897,4037.629,4053.199,0.0
2014-08-20 00:00:00.005,4050.7,4056.007,4039.19,4045.619,0.0
2014-08-21 00:00:00.005,4041.828,4044.755,4008.205,4027.322,0.0
2014-08-22 00:00:00.005,4026.4,4047.042,4023.425,4042.868,0.0
2014-08-25 00:00:00.005,4044.033,4045.153,4013.694,4018.521,0.0
2014-08-26 00:00:00.005,4014.341,4023.295,3988.761,3996.396,0.0
2014-08-27 00:00:00.005,3995.396,4004.474,3992.299,3994.811,0.0
2014-08-28 00:00:00.005,3995.328,4003.089,3978.168,3981.141,0.0
2014-08-29 00:00:00.005,3979.884,4009.903,3979.884,4009.509,0.0
2014-09-01 00:00:00.005,4010.185,4027.685,4008.289,4026.922,0.0
2014-09-02 00:00:00.005,4030.286,4077.365,4024.43,4073.372,0.0
2014-09-03 00:00:00.005,4078.721,4109.357,4078.721,4099.998,0.0
2014-09-04 00:00:00.005,4102.333,4127.63,4096.928,4125.874,0.0
2014-09-05 00:00:00.005,4131.907,4160.19,4130.761,4156.67,0.0
2014-09-09 00:00:00.005,4158.92,4161.708,4141.717,4146.913,0.0
2014-09-10 00:00:00.005,4136.622,4136.622,4119.704,4132.018,0.0
2014-09-11 00:00:00.005,4132.139,4174.238,4114.775,4123.299,0.0
2014-09-12 00:00:00.005,4120.069,4148.01,4113.358,4147.713,0.0
2014-09-15 00:00:00.005,4134.412,4147.012,4122.946,4143.816,0.0
2014-09-16 00:00:00.005,4148.745,4154.766,4084.372,4087.06,0.0
2014-09-17 00:00:00.005,4092.538,4101.168,4076.884,4098.946,0.0
2014-09-18 00:00:00.005,4096.502,4116.518,4086.043,4110.199,0.0
